ecosystem,library,test_name,iteration,outcome,leak_probability,samples,elapsed_sec,timestamp
C/C++,libsodium,c_libraries::libsodium::libsodium_ed25519_sign_constant_time,2,INCONCLUSIVE,0.0,31000,2,2026-02-06T11:39:17+00:00
C/C++,libsodium,c_libraries::libsodium::libsodium_ed25519_sign_constant_time,3,PASS,0.4,6000,0,2026-02-06T11:39:17+00:00
C/C++,libsodium,c_libraries::libsodium::libsodium_ed25519_sign_constant_time,4,PASS,0.1,6000,1,2026-02-06T11:39:18+00:00
C/C++,libsodium,c_libraries::libsodium::libsodium_ed25519_sign_constant_time,5,PASS,3.4,7000,0,2026-02-06T11:39:18+00:00
C/C++,libsodium,c_libraries::libsodium::libsodium_ed25519_sign_constant_time,6,PASS,4.6,6000,0,2026-02-06T11:39:18+00:00
C/C++,libsodium,c_libraries::libsodium::libsodium_ed25519_sign_constant_time,7,PASS,0.0,6000,1,2026-02-06T11:39:19+00:00
C/C++,libsodium,c_libraries::libsodium::libsodium_ed25519_sign_constant_time,8,PASS,0.5,6000,0,2026-02-06T11:39:19+00:00
C/C++,libsodium,c_libraries::libsodium::libsodium_ed25519_sign_constant_time,9,INCONCLUSIVE,0.0,6000,1,2026-02-06T11:39:20+00:00
C/C++,libsodium,c_libraries::libsodium::libsodium_ed25519_sign_constant_time,10,INCONCLUSIVE,0.0,6000,0,2026-02-06T11:39:20+00:00
C/C++,libsodium,c_libraries::libsodium::libsodium_ed25519_verify_constant_time,1,PASS,9.1,7000,1,2026-02-06T11:39:21+00:00
C/C++,libsodium,c_libraries::libsodium::libsodium_ed25519_verify_constant_time,2,INCONCLUSIVE,0.0,6000,1,2026-02-06T11:39:22+00:00
C/C++,libsodium,c_libraries::libsodium::libsodium_ed25519_verify_constant_time,3,PASS,0.5,6000,1,2026-02-06T11:39:23+00:00
C/C++,libsodium,c_libraries::libsodium::libsodium_ed25519_verify_constant_time,4,PASS,0.8,6000,1,2026-02-06T11:39:24+00:00
C/C++,libsodium,c_libraries::libsodium::libsodium_ed25519_verify_constant_time,5,PASS,0.5,6000,1,2026-02-06T11:39:25+00:00
C/C++,libsodium,c_libraries::libsodium::libsodium_ed25519_verify_constant_time,6,PASS,0.0,6000,0,2026-02-06T11:39:25+00:00
C/C++,libsodium,c_libraries::libsodium::libsodium_ed25519_verify_constant_time,7,PASS,0.0,6000,1,2026-02-06T11:39:26+00:00
C/C++,libsodium,c_libraries::libsodium::libsodium_ed25519_verify_constant_time,8,INCONCLUSIVE,0.0,7000,1,2026-02-06T11:39:27+00:00
C/C++,libsodium,c_libraries::libsodium::libsodium_ed25519_verify_constant_time,9,INCONCLUSIVE,0.0,6000,1,2026-02-06T11:39:28+00:00
C/C++,libsodium,c_libraries::libsodium::libsodium_ed25519_verify_constant_time,10,INCONCLUSIVE,0.0,6000,2,2026-02-06T11:39:30+00:00
C/C++,libsodium,c_libraries::libsodium::libsodium_x25519_scalar_mult_constant_time,1,INCONCLUSIVE,0.0,6000,1,2026-02-06T11:39:31+00:00
C/C++,libsodium,c_libraries::libsodium::libsodium_x25519_scalar_mult_constant_time,2,INCONCLUSIVE,0.0,6000,1,2026-02-06T11:39:32+00:00
