ecosystem,library,test_name,iteration,outcome,leak_probability,samples,elapsed_sec,timestamp
C/C++,libsodium,c_libraries::libsodium::libsodium_ed25519_verify_constant_time,8,PASS,1.5,6000,1,2026-02-05T22:10:17-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_ed25519_verify_constant_time,9,PASS,1.2,6000,1,2026-02-05T22:10:18-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_ed25519_verify_constant_time,10,PASS,0.4,6000,0,2026-02-05T22:10:18-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_x25519_scalar_mult_constant_time,1,INCONCLUSIVE,0.0,6000,1,2026-02-05T22:10:19-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_x25519_scalar_mult_constant_time,2,INCONCLUSIVE,0.0,6000,1,2026-02-05T22:10:20-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_x25519_scalar_mult_constant_time,3,INCONCLUSIVE,0.0,6000,0,2026-02-05T22:10:20-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_x25519_scalar_mult_constant_time,4,INCONCLUSIVE,0.0,6000,1,2026-02-05T22:10:21-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_x25519_scalar_mult_constant_time,5,INCONCLUSIVE,0.0,6000,0,2026-02-05T22:10:21-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_x25519_scalar_mult_constant_time,6,INCONCLUSIVE,0.0,6000,1,2026-02-05T22:10:22-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_x25519_scalar_mult_constant_time,7,INCONCLUSIVE,0.0,6000,1,2026-02-05T22:10:23-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_x25519_scalar_mult_constant_time,8,INCONCLUSIVE,0.0,6000,0,2026-02-05T22:10:23-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_x25519_scalar_mult_constant_time,9,INCONCLUSIVE,0.0,6000,1,2026-02-05T22:10:24-03:00
C/C++,libsodium,c_libraries::libsodium::libsodium_x25519_scalar_mult_constant_time,10,INCONCLUSIVE,0.0,6000,0,2026-02-05T22:10:24-03:00
Rust,dalek,dalek::x25519::x25519_byte_pattern_independence,1,PASS,0.9,6000,1,2026-02-05T22:10:25-03:00
Rust,dalek,dalek::x25519::x25519_byte_pattern_independence,2,PASS,0.0,6000,1,2026-02-05T22:10:26-03:00
Rust,dalek,dalek::x25519::x25519_byte_pattern_independence,3,PASS,0.1,6000,0,2026-02-05T22:10:26-03:00
Rust,dalek,dalek::x25519::x25519_byte_pattern_independence,4,PASS,6.1,6000,1,2026-02-05T22:10:27-03:00
Rust,dalek,dalek::x25519::x25519_byte_pattern_independence,5,PASS,1.1,6000,1,2026-02-05T22:10:28-03:00
Rust,dalek,dalek::x25519::x25519_byte_pattern_independence,6,INCONCLUSIVE,0.0,0,1,2026-02-05T22:10:29-03:00
Rust,dalek,dalek::x25519::x25519_byte_pattern_independence,7,PASS,0.3,6000,1,2026-02-05T22:10:30-03:00
Rust,dalek,dalek::x25519::x25519_byte_pattern_independence,8,PASS,0.2,6000,0,2026-02-05T22:10:30-03:00
Rust,dalek,dalek::x25519::x25519_byte_pattern_independence,9,PASS,0.3,6000,1,2026-02-05T22:10:31-03:00
Rust,dalek,dalek::x25519::x25519_byte_pattern_independence,10,INCONCLUSIVE,0.0,0,1,2026-02-05T22:10:32-03:00
Rust,dalek,dalek::x25519::x25519_different_basepoints_constant_time,1,PASS,0.4,6000,1,2026-02-05T22:10:33-03:00
Rust,dalek,dalek::x25519::x25519_different_basepoints_constant_time,2,INCONCLUSIVE,0.0,0,1,2026-02-05T22:10:34-03:00
Rust,dalek,dalek::x25519::x25519_different_basepoints_constant_time,3,PASS,1.1,6000,1,2026-02-05T22:10:35-03:00
